word or phrase,translation
歪,"distorted, crooked, irregular, warped, oval, elliptical shape, round, wooden container for cooked rice, oval coin"
畏怖,"awe, fear, dread, fright"
威風,"majesty, dignity"
衣服,clothes
息吹,"breath, sign (of something new and fresh), breath (of spring, fresh air, etc.), vitality"
胃袋,"stomach, dietary needs"
遺物,"relic, remains, memento"
異物,"foreign substance, foreign body, foreign contamination, foreign material, strange object, unusual object, dead body, corpse, remains"
異文,"variant (in a manuscript or book), part of a text that differs from other versions"
異変,"unusual event, strange occurrence, strange phenomenon, something abnormal, change (for the worse), accident, disaster"
違法,"illegal, illicit, unlawful"
異邦人,"foreigner, stranger, gentile, goy, non-Jew"
異母,different mother
居間,"living room (Western style), sitting room"
今,"now, the present time, just now, soon, immediately, another, more"
今一,"not quite (right), not very good, somewhat (lacking)"
今頃,about this time
今更,"now (when it is already much too late), at this stage, afresh, anew, again"
戒め,"caution, admonition, warning, lesson, prohibition, ban, commandment, precept, punishment, caution, guard"
戒める,"to warn against, to caution against, to admonish, to scold, to rebuke, to prohibit, to forbid, to ban, to be cautious, to detest, to loathe, to punish"
今すぐ,"at once, immediately, right now"
今時,"these days, nowadays, present day, modern times, at this time (of the day)"
今に,"before long, even now"
今にも,"at any moment (now), at any minute, on the verge of (doing), just about to"
今ひとつ,"one more, another (one), (not) quite, (not) entirely, (not) enough, somewhat (lacking)"
今風,"modern, current, contemporary, trendy, latest, up-to-date"
今まで,"until now, so far, up to the present"
今や,"now (esp. in contrast to the past), now at last, at present, right now"
今様,"modern style, contemporary style, current fashion, verse form from the Heian and Kamakura periods consisting of 4 lines each divided into two parts of 7 and 5 syllables"
忌まわしい,"unpleasant, disagreeable, abominable, disgusting, unsavory, unlucky, inauspicious, ominous"
意味,"meaning, significance, sense"
意味合い,"implication, nuance, shade of meaning, connotation"
意味づける,"to give meaning (to), to assess the significance (of)"
意味不明,"of uncertain meaning, ambiguous, cryptic, nonsensical, incomprehensible, perplexing"
異名,"another name, nickname, alias, synonym (taxonomy)"
移民,"immigration, emigration, immigrant, emigrant"
医務,medical affairs
医務室,"doctors office, medical office, sickbay"
芋,"tuber, taro, potato, yam, yokel, bumpkin, dud, worthless thing"
妹,younger sister
鋳物,"casting, cast-metal object"
慰問,"visit to console someone, giving comfort (to the sick, injured, etc.), expressing condolences (sympathy, concern, etc.), sympathy call"
嫌,"disliking, not wanting, unwilling (to do), reluctant, unpleasant, disagreeable, nasty, horrible, disgusting, undesirable, unwelcome, no!, quit it!, stop!"
否,no
否々,"no!, no no!, no, not at all"
否応,"yes or no answer, agreement or disagreement, consent or refusal"
嫌がらせ,"harassment, pestering"
嫌がる,"to appear uncomfortable (with), to seem to hate, to express dislike"
嫌気,"dislike, disgust, disinclination, tired of"
医薬,"medicine, Pharmaceutical and Food Safety Bureau"
違約,"breach of contract, default"
医薬品,"medical and pharmaceutical products, medicinal supplies, drugs, pharmaceuticals, medicine"
卑しい,"lowborn, humble, lowly, vulgar, coarse, crude, mean, base, vile, despicable, dirty, unfair, shabby, poor-looking, greedy, gluttonous, avaricious"
嫌らしい,"unpleasant, disagreeable, nasty, lewd, lascivious, obscene, filthy, dirty"
愈,"more and more, all the more, increasingly, at last, finally, beyond doubt, (at the) last moment, worst possible time"
異様,"bizarre, strange, eccentric, odd, queer"
威容,"dignified appearance, majestic appearance, imposing appearance"
意欲,"will, desire, eagerness, interest, drive, motivation, urge, ambition"
以来,"since, henceforth"
依頼,"request, commission, entrusting (with a matter), dependence, reliance"
依頼者,"client, requester"
苛々,"to get irritated, to get annoyed, to be on the edge, to fret, to lose patience"
いらして,"coming, going, being (somewhere), being (doing something)"
いらっしゃい,"come, go, stay, welcome"
いらっしゃいませ,welcome
いらっしゃる,"to come, to go, to be (somewhere), to be (doing)"
要らぬ,needless
入り,"entering, setting (of the Sun), containing, content, audience, income, beginning"
入り組む,to become complicated
入口,"entrance, entry, gate, approach, mouth"
入り込み,"coming in together, unreserved seats for the public"
入交,"mixing with, being mixed"
入り混じる,"to mix (with), to be mixed (together), to be mingled"
入り乱れる,to be jumbled together
遺留,"leaving behind (after death), bequest, leaving behind, forgetting"
慰留,"dissuasion (from resigning, leaving, etc.), persuading (to stay)"
遺留品,"article left behind (at a crime scene, after death, etc.)"
医療,"medical care, medical treatment"
衣料,clothing
衣料品,"clothing, articles of clothing, apparel"
威力,"power, might, authority, influence"
要る,"to need, to want"
入る,"to enter, to go in, to get in, to come in, to set (of the sun or moon), to sink, to go down, to attain (nirvana, enlightenment, etc.), to achieve, to reach (e.g. a climax), to do fully, to do intently, to do sincerely, to do deeply, to feel keenly, to (reach a state) completely"
鋳る,"to cast, to mint, to coin"
炒る,"to roast, to parch, to toast, to boil down"
射る,"to shoot (arrow, bolt, dart)"
居る,"to be (of animate objects), to exist, to stay, to be ...-ing, to have been ...-ing"
衣類,"clothes, clothing, garments"
海豚,"dolphin (or other small toothed whales, incl. porpoises, belugas, etc.)"
慰霊,consoling the spirits of the dead
異例,"exceptional, unusual, extraordinary, unprecedented, singular"
慰霊祭,memorial service
入れ替え,"replacement, substitution, change, shunting (rail), switching"
入れ替える,"to replace, to substitute, to shift, to change places"
入れ替わり,"substitution, replacement, shifting, change"
入れ代わり立ち代わり,by turns
入れ替わる,"to change places (with), to be replaced (with, by), to be changed, to change (seats, shifts, etc.; with someone), to switch, to exchange"
入れ墨,"tattoo (esp. a traditional Japanese one), tattooing"
入れ歯,"false tooth, denture"
入れ物,"container, case, receptacle, coffin, casket"
入れる,"to put in, to let in, to take in, to bring in, to insert, to install (e.g. software), to set (a jewel, etc.), to ink in (e.g. tattoo), to admit, to accept, to employ, to hire, to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to, to include, to pay (ones rent, etc.), to cast (a vote), to make (tea, coffee, etc.), to turn on (a switch, etc.), to send (a fax), to call"
色,"colour, color, hue, tint, tinge, shade, complexion, skin colour, skin color, look (on ones face), expression, appearance, air, feeling, personality, character, tone (of ones voice, etc.), tune, sound, ring, love, lust, sensuality, love affair, lover, paramour, beauty, sexiness, physical appeal, kind, type, variety"
色合い,"colouring, coloring, shade (of colour), hue, tone, tinge, tint, flavour, nuance, feel, sense, look"
色々,"various, all sorts of, variety of, various colors (colours)"
色々あって,"what with this and that, for a number of reasons"
慰労,recognition of services
色鉛筆,"colored pencil, coloured pencil"
色柄,"colored pattern, coloured pattern"
色気,"colouring, coloring, shade of colour (color), sex appeal (esp. of women), sexiness, sexual allure, seductiveness, interest in the opposite sex, sexual feelings, sexual urge, charm, elegance, romance, graciousness, feminine presence, desire, interest, ambition, inclination"
色刷り,"colour printing, color printing"
色っぽい,"amorous, sexy, voluptuous, erotic"
彩り,"coloring, colouring, coloration, colouration, color scheme, colour scheme, coordination (of colour), (touch of) colour, embellishment, brilliance, spice, glow, decoration, garnish"
彩る,"to colour, to color, to paint, to apply make-up, to decorate, to garnish, to adorn, to add flair"
色直し,"changing ones clothing (of a bride or groom during a wedding reception), redyeing (of clothes, etc.)"
伊呂波,"traditional ordering of the Japanese syllabary, fundamentals, the ABCs of ..."
色分け,"classification by colour, sorting by color, color-coding, colour-coding, classification, sorting, grouping"
異論,"different opinion, objection"
色んな,various
岩,"rock, boulder, crag, cliff, anchor"
祝い,"congratulation, congratulations, celebration, festival, congratulatory gift, present"
