charcter,definition,pinyin
畜,"livestock, domestic animals",chù
咽,throat; pharynx,yàn
披,wear; split; crack,pī
辅,cheek bone; protective; assist,fǔ
勾,"hook, join, connect; entice",gōu
盆,"basin, tub, pot, bowl",pén
疆,"boundary, border, frontier",jiāng
赌,"bet, gamble, wager; compete",dǔ
塑,"model in clay, sculpt; plastics",sù
畏,"fear, dread, awe, reverence",wèi
吵,"argue, dispute; disturb, annoy",chǎo
囊,"bag, purse, sack; put in bag",náng
嗯,final particle,ń
泊,anchor vessel; lie at anchor,pō
肺,lungs,fèi
骤,procedure; gallop; sudden(ly),zhòu
缠,"wrap, wind around; tie, bind",chán
冈,ridge or crest of hill,gāng
羞,"disgrace, shame; ashamed; shy",xiū
瞪,stare at,dèng
吊,"condole, mourn, pity; hang",diào
贾,"surname; merchant; buy, trade",jiǎ
漏,"leak, drip; funnel; hour glass",lòu
斑,"mottled, striped, freckle",bān
涛,large waves,tāo
悠,"long, far, remote, distant; liesurely",yōu
鹿,deer; surname; KangXi radical 198,lù
俘,prisoner of war; take as prisoner,fú
锡,"tin, stannum; bestow, confer",xī
卑,"humble, low, inferior; despise",bēi
葬,"bury, inter",zàng
铭,"inscribe, engrave",míng
滩,"bank, a sandbar, shoal; rapids",tān
嫁,"to marry, give a daughter in marriage",jià
催,"press, urge",cuī
璇,beautiful jade; star,xuán
翅,wings; fin,chì
盒,small box or case; casket,hé
蛮,"barbarians; barbarous, savage",mán
矣,particle of completed action,yǐ
潘,surname; water in which rice has been rinsed; a river that flows into the Han,pān
歧,fork of road; branching off,qí
赐,"give, bestow favors; appoint",cì
鲍,abalone; dried fish; surname,bào
锅,"cooking-pot, saucepan",guō
廊,"corridor, porch, veranda",láng
拆,"to break up, split apart, rip open; to destroy",chāi
灌,"pour; water; irrigate, flood",guàn
勉,"endeavor, make effort; urge",miǎn
盲,"blind; unperceptive, shortsighted",máng
宰,to slaughter; to rule,zǎi
佐,"assist, aid, second; subordinate",zuǒ
啥,what?,shà
胀,"swell, inflate, expand",zhàng
扯,"rip up, tear down; raise; haul",chě
禧,happiness; congratulations,xǐ
辽,"distant, far",liáo
抹,"smear, apply, wipe off, erase",mǒ
筒,thick piece of bamboo; pipe,tǒng
棋,chess; any game similar to chess,qí
裤,"trousers, pants",kù
唉,"alas, exclamation of surprise or pain",āi
朴,"simple, unadorned; sincere; surname; a tree",pǔ
咐,"instruct, order",fù
孕,"be pregnant, pregnancy",yùn
誓,"swear, pledge; oath",shì
喉,"throat, gullet, larynx; guttural",hóu
妄,"absurd, foolish, reckless; false",wàng
拘,"restrain, seize, detain",jū
链,"chain, wire, cable; chain, shack",liàn
驰,go quickly or swiftly; hurry,chí
栏,"railing, balustrade; animal pan",lán
逝,pass away; die,shì
窃,"secretly, stealthily; steal; thief",qiè
艳,"beautiful, sexy, voluptuous",yàn
臭,"smell, stink, emit foul odor",chòu
纤,"fine, delicate; minute; graceful",xiān
玑,pearl that is not quite round,jī
棵,numerary adjunct for trees,kē
趁,"take advantage of, avail oneself",chèn
匠,"craftsman, artisan; workman",jiàng
盈,"fill; full, overflowing; surplus",yíng
翁,"old man; father, father-in-law",wēng
愁,"anxiety; to worry about, be anxious",chóu
瞬,"wink, blink; in a wink, a flash",shùn
婴,"baby, infant; bother",yīng
孝,"filial piety, obedience; mourning",xiào
颈,"neck, throat",jǐng
倘,"if, supposing, in event of",tǎng
浙,Zhejiang province; river,zhè
谅,"excuse, forgive; guess, presume",liàng
蔽,"cover, hide, conceal; shelter",bì
畅,"smoothly, freely, unrestrained",chàng
赠,"give present; bestow, confer",zèng
妮,"maid, servant girl; cute girl",nī
莎,"kind of sedge grass, used anciently for raincoats",shā
尉,"officer, military rank",wèi
冻,"freeze; cold, congeal; jelly",dòng
跪,kneel,guì
闯,"rush in, burst in, charge in",chuǎng
葡,grapes,pú
後,"behind, rear, after; descendents",hòu
厨,kitchen; closet; cupboard,chú
鸭,duck; Anas species (various),yā
颠,"top, peak, summit; upset",diān
遮,"cover, shield, protect",zhē
谊,"friendship; appropriate, suitable",yì
圳,"furrow in field, small drainage ditch",zhèn
吁,,xū
仑,"logical reasons, logical order",lún
辟,"law, rule; open up, develop",pì
瘤,"tumor, lump, goiter",liú
嫂,,sǎo
陀,"steep bank, rough terrain",tuó
框,frame; framework; door frame,kuāng
谭,surname,tán
亨,"smoothly, progressing, no trouble",hēng
钦,"respect, admire; respectful",qīn
庸,"usual, common, ordinary, mediocre",yōng
歉,"deficient, lacking, insufficient",qiàn
芝,,zhī
吼,"roar, shout; bark, howl",hǒu
甫,"begin; man, father; great; a distance of ten li",fǔ
衫,shirt; robe; gown; jacket,shān
摊,"spread out, open; apportion",tān
宴,"to entertain, feast; a feast, banquet",yàn
嘱,"order, tell, instruct, leave word",zhǔ
衷,,zhōng
娇,seductive and loveable; tender,jiāo
陕,mountain pass; Shanxi province,shǎn
矩,,jǔ
浦,"bank of river, shore; surname",pǔ
讶,"express surprise, be surprised",yà
耸,"urge on; rise up; stir, excite",sǒng
裸,"bare, nude; undress, strip",luǒ
碧,"jade; green, blue",bì
摧,"destroy, break, injure",cuī
薪,"fuel, firewood; salary",xīn
淋,"drip, soak, drench; perfectly",lín
耻,"shame, humiliation; ashamed",chǐ
胶,"glue, gum, resin, rubber; sound; shin bone",jiāo
屠,"butcher, slaughter, massacre",tú
鹅,goose,é
饥,"hunger, starving; hungry; a famine",jī
盼,"look, gaze; expect, hope for",pàn
脖,neck,bó
虹,rainbow,hóng
翠,color green; kingfisher,cuì
崩,"rupture, split apart, collapse",bēng
账,"accounts; bill, debt; credit",zhàng
萍,"duckweed; wandering, traveling",píng
逢,"come upon, happen meet; flatter",féng
赚,"make money, earn; gain, profit",zhuàn
撑,"prop up, support; brace",chēng
翔,"soar, glide, hover; detailed",xiáng
倡,"guide, leader; lead, introduce",chàng
绵,"cotton wad; wool; soft, downy",mián
猴,"monkey, ape; monkey-like",hóu
枯,"dried out, withered, decayed",kū
巫,"wizard, sorcerer, witch, shaman",wū
昭,"bright, luminous; illustrious",zhāo
怔,a disease resembling neurosis,zhēng
渊,"surge up, bubble up, gush forth",yuān
凑,"piece together, assemble",còu
溪,"mountain stream, creek",xī
蠢,wriggle; stupid; silly; fat,chǔn
禅,,chán
阐,"explain, clarify, elucidate",chǎn
旺,prosper; prosperous; increase,wàng
寓,residence; lodge; dwell,yù
藤,"rattan, cane; creeper plant",téng
匪,"bandits, robbers, gangsters",fěi
伞,"umbrella, parasol, parachute",sǎn
碑,stone tablet; gravestone,bēi
挪,"move, shift on one side",nuó
琼,"jade; rare, precious; elegant; (Cant.) to coagulate",qióng
脂,"fat, grease, lard; grease",zhī
谎,lie,huǎng
慨,"sigh, regret; generous",kǎi
菩,"herb, aromatic plant",pú
萄,grapes,táo
狮,lion,shī
掘,"dig, excavate; excavate cave",jué
抄,"copy, confiscate, seize",chāo
岭,"mountain ridge, mountain peak",lǐng
晕,"halo in sky; fog; dizzy, faint",yūn
逮,"seize, catch; reach, arrive",dǎi
砍,"hack, chop, cut, fell",kǎn
掏,take out; pull out; clean out,tāo
狄,tribe from northern china; surnam,dí
晰,"clear, evident; clearly",xī
罕,"rare, scarce; surname",hǎn
挽,"pull; pull back, draw back",wǎn
脾,"spleen, pancreas; disposition",pí
舟,"boat, ship; KangXi radical 137",zhōu
痴,"foolish, stupid, dumb, silly",chī
蔡,surname; species of tortoise,cài
剪,"scissors; cut, divide, separate",jiǎn
脊,"spine, backbone; ridge",jí
弓,"bow; curved, arched; KangXi radical number 57",gōng
懒,"lazy, languid, listless",lǎn
叉,"crotch; fork, prong",chā
拐,"kidnap, abduct; turn",guǎi
喃,"keep talking, chattering; mumble",nán
僚,"companion, colleague; officials; bureaucracy; a pretty face",liáo
捐,"contribute; give up, renounce",juān
姊,elder sister,zǐ
骚,"harass, bother, annoy, disturb",sāo
拓,expand; open up; support or push,tà
歪,"slant; inclined; askewd, awry",wāi
粘,"viscous, mucous; glutinous",zhān
柄,"handle, lever, knob; authority",bǐng
坑,"pit, hole; bury, trap; harry",kēng
陌,foot path between rice fields,mò
窄,"narrow, tight; narrow-minded",zhǎi
湘,Hunan province,xiāng
兆,omen; million; mega; also trillion. China = million; Japan and Taiwan = trillion,zhào
崖,"cliff, precipice; precipitous",yá
骄,spirited horse; haughty,jiāo
刹,"temple, shrine, monastary",shā
鞭,whip; whip; string of firecrackers,biān
芒,Miscanthus sinensis,máng
筋,muscles; tendons,jīn
聘,"engage, employ; betroth",pìn
钩,"hook, barb; sickle; stroke with",gōu
棍,"stick, cudgel; scoundrel",gùn
嚷,"shout, brawl, make uproar, cry",rǎng
腺,gland,xiàn
弦,"string; hypotenuse, crescent",xián
焰,"flame, blaze; glowing, blazing",yàn
耍,"frolic, play, amuse, play with",shuǎ
俯,"bow down, face down, look down",fǔ
厘,thousandth part of tael,lí
愣,be in a daze,lèng
厦,"big building, mansion",shà
恳,"sincere, earnest, cordial",kěn
饶,"bountiful, abundant, plentiful",ráo
钉,"nail, spike; pursue closely",dīng
寡,"widowed; alone, friendless",guǎ
憾,"to regret, remorse; dissatisfied",hàn
摔,"fall ground, stumble, trip",shuāi
叠,pile; be piled up; fold up,dié
惹,"irritate, vex, offend, incite",rě
喻,"metaphor, analogy; example; like",yù
谱,"list, table; musical score",pǔ
愧,"ashamed, conscience-stricken",kuì
煌,"bright, shining, luminous",huáng
徽,"a badge, insignia",huī
溶,"to melt, dissolve; overflowing with",róng
坠,"fall down, drop, sink, go to ruin",zhuì
煞,"malignant deity; baleful, noxious; strike dead",shā
巾,kerchief; towel; turban; KangXi radical number 50,jīn
滥,"flood, overflow; excessive",làn
洒,sprinkle; scatter; pour; to wipe away; to shiver,sǎ
堵,"wall; stop, prevent; stop up",dǔ
瓷,"crockery, porcelain, chinaware",cí
咒,"curse, damn, incantation",zhòu
姨,,yí
棒,"stick, club, truncheon; hit",bàng
郡,administrative division,jùn
浴,"bathe, wash; bath",yù
媚,"charming, attractive; flatter",mèi
稣,"revive, to rise again; collect",sū
淮,river in Anhui province,huái
哎,interjection of surprise,āi
屁,break wind; fart; buttocks,pì
漆,"varnish, lacquer, paint",qī
淫,"obscene, licentious, lewd",yín
巢,"nest, living quarter in tree",cháo
吩,"order, command, instruct",fēn
撰,"compose, write, compile",zhuàn
啸,"roar, howl, scream; whistle",xiào
滞,"block up, obstruct; stagnant",zhì
玫,rose,méi
硕,"great, eminent; large, big",shuò
钓,"fish; fishhook; tempt, lure",diào
蝶,butterfly,dié
膝,knee,xī
姚,"handsome, elegant; surname",yáo
茂,"thick, lush, dense; talented",mào
躯,body,qū
吏,"government official, magistrate",lì
猿,ape,yuán
寨,"stockade, stronghold, outpost; brothel",zhài
恕,"forgive, excuse, show mercy",shù
渠,"ditch, canal, channel, gutter",qú
戚,relative; be related to; sad,qī
辰,early morning; 5th terrestrial branch,chén
舶,"large, ocean-going vessel",bó
颁,"confer, bestow; publish, promulgate",bān
惶,"fearful, afraid, anxious, nervous",huáng
狐,species of fox,hú
讽,"recite, incant; satirize",fěng
笨,"foolish, stupid, dull; awkward",bèn
袍,"long gown, robe, cloak",páo
嘲,"ridicule, deride, scorn, jeer at",cháo
啡,morphine; coffee,fēi
泼,"pour, splash, water, sprinkle",pō
衔,"bit; hold in mouth, bite; gag",xián
倦,"be tired of, weary",juàn
涵,"soak, wet; tolerate, be lenient",hán
雀,sparrow,què
旬,ten-day period; period of time,xún
僵,"stiff and motionless, stock still",jiāng
撕,"rip, tear; buy cloth",sī
肢,human limbs; animal feet,zhī
垄,"grave, mound; ridge in field",lǒng
夷,ancient barbarian tribes,yí
逸,"flee, escape, break loose",yì
茅,"reeds, rushes, grass; surname",máo
侨,"sojourn, lodge",qiáo
舆,"cart, palanquin, sedan chair",yú
窑,kiln; coal mine pit,yáo
涅,"blacken; black mud, slime",niè
蒲,type of rush; vine,pú
谦,"humble, modest",qiān
杭,cross stream; navigate,háng
噢,"moan; interjection for pain, sad",ō
弊,"evil, wrong, bad; criminal",bì
勋,meritorious deed; merits; rank,xūn
刮,"shave, pare off, scrape",guā
郊,"suburbs; waste land, open spaces",jiāo
凄,"bitter cold, miserable, dreary",qī
捧,hold up in two hands,pěng
浸,"soak, immerse, dip, percolate",jìn
砖,"tile, brick",zhuān
鼎,"large, three-legged bronze caldron",dǐng
篮,basket,lán
蒸,steam; evaporate,zhēng
饼,"rice-cakes, biscuits",bǐng
亩,Chinese land measure; fields,mǔ
肾,"kidneys; testes, gizzard",shèn
陡,"steep, sloping; abruptly, sudden",dǒu
爪,"claw, nail, talon; animal feet",zhǎo
兔,"rabbit, hare",tù
殷,"many, great; abundant, flourishing",yīn
贞,"virtuous, chaste, pure; loyal",zhēn
荐,"repeat, reoccur; recommend",jiàn
哑,"dumb, mute; become hoarse",yǎ
炭,charcoal; coal; carbon,tàn
坟,"grave, mound; bulge; bulging",fén
眨,wink,zhǎ
搏,seize; spring upon; strike,bó
咳,cough,hāi
拢,"collect, bring together",lǒng
舅,,jiù
昧,"obscure, dark; darken",mèi
擅,monopolize; claim; arbitrarily; to dare,shàn
爽,"happy, cheerful; refreshing",shuǎng
咖,coffee; a phonetic,kā
搁,"place, put, lay down; delay",gē
禄,"blessing, happiness, prosperity",lù
雌,"female; feminine; gentle, soft",cí
哨,"whistle, blow whistle; chirp",shào
巩,"bind; firm, secure, strong",gǒng
绢,kind of thick stiff silk,juàn
螺,spiral shell; conch; spiral,luó
裹,"wrap, bind; encircle, confine",guǒ
昔,formerly; ancient; in beginning,xī
轩,carriage; high; wide; balcony,xuān
谬,"error, exaggeration; erroneous",miù
谍,an intelligence report; to spy; spying,dié
龟,turtle or tortoise; cuckold,guī
媳,daughter-in-law,xí
姜,surname; ginger,jiāng
瞎,"blind, reckless; rash",xiā
冤,"grievance, injustice, wrong",yuān
鸦,crow; Corvus species (various),yā
蓬,type of raspberry; fairyland,péng
巷,"alley, lane",xiàng
琳,"beautiful jade, gem",lín
栽,"to cultivate, plant; to care for plants",zāi
沾,"moisten, wet, soak; touch",zhān
诈,"cheat, defraud, swindle; trick",zhà
斋,vegetarian diet; study,zhāi
瞒,"deceive, lie; eyes half-closed",mán
彪,tiger; tiger stripes; tiger-like,biāo
厄,"adversity, difficulty, distress",è
咨,"inquire, consult, discuss; plan",zī
纺,"spin, reel, weave; reeled pongee",fǎng
罐,"jar, jug, pitcher, pot",guàn
桶,"pail, bucket, tub; cask, keg",tǒng
壤,"soil, loam, earth; rich",rǎng
糕,"cakes, pastry",gāo
颂,"laud, acclaim; hymn; ode",sòng
膨,"to swell; swollen, bloated, inflated",péng
谐,"harmonize, agree; joke, jest",xié
垒,"rampart, military wall",lěi
咕,"mumble, mutter, murmur; rumble",gū
隙,"crack, split, fissure; grudge",xì
辣,"peppery, pungent, hot; cruel",là
绑,"bind, tie, fasten",bǎng
宠,"favorite, concubine; favor",chǒng
嘿,"be silent, be quiet",hēi
兑,cash; exchange,duì
霉,"mildew, mold; moldy, mildewed",méi
挫,push down; chop down; grind,cuò
稽,"examine, investigate; delay",jī
辐,spokes of wheel,fú
乞,beg; request,qǐ
纱,"gauze, thin silk; yarn, thread",shā
裙,"skirt, apron, petticoat",qún
嘻,"mirthful, happy; interjection",xī
哇,vomit; cry of an infant,wa
绣,embroider; embroidery; ornament,xiù
杖,"cane, walking stick",zhàng
塘,"pond; tank; dike, embankment",táng
衍,"overflow, spill over, spread out",yǎn
轴,"axle, axletree; pivot; axis",zhóu
攀,climb; pull; hang on to,pān
膊,"shoulders, upper arms",bó
譬,"metaphor, simile, example",pì
斌,"refined, having both appearance",bīn
祈,"pray; entreat, beseech",qí
踢,kick,tī
肆,"indulge; excess; numeral four; particle meaning now, therefore; shop",sì
坎,"pit, hole; snare, trap; crisis",kǎn
轿,"sedan-chair, palanquin",jiào
棚,"tent, awning; booth; shed",péng
泣,"cry, sob, weep",qì
屡,"frequently, often, again and again",lǚ
躁,"tense, excited, irritable",zào
邱,surname; hill; mound; grave,qiū
凰,female phoenix,huáng
溢,"overflow, brim over; full",yì
椎,"hammer, mallet; vertebra",chuí
砸,"smash, crush, break; pound, mash",zá
趟,"time, occasion; take journey",tàng
帘,flag-sign of a tavern,lián
帆,sail; boat,fān
栖,perch; roost; stay,qī
窜,"run away; revise, edit; expel",cuàn
丸,"small round object; pellet, pill",wán
斩,"cut, chop, sever; behead",zhǎn
堤,dike,dī
塌,"fall in ruins, collapse",tā
贩,"peddler, hawker, street merchant",fàn
厢,"side-room, wing; theatre box",xiāng
掀,"lift, raise; stir",xiān
喀,vomit; used in transliterations,kā
乖,"rebel; crafty, shrewd",guāi
谜,"riddle, conundrum; puzzle",mí
捏,pick with fingers; knead; mold,niē
阎,village gate; surname,yán
滨,"beach, sea coast; river bank",bīn
虏,"to capture, imprison, seize; a prison",lǔ
匙,spoon; surname,shi
芦,"rushes, reeds",lú
苹,artemisia; duckweed; apple,píng
卸,lay down; retire from office,xiè
沼,"lake, fishpond, swamps",zhǎo
钥,key; lock,yào
株,numerary adjunct for trees; root,zhū
祷,"pray; entreat, beg, plead; prayer",dǎo
剖,"split in two, slice; dissect",pōu
熙,"bright, splendid, glorious",xī
哗,rushing sound; gush forward,huā
劈,"cut apart, split, chop",pī
怯,"lacking in courage, afraid",qiè
棠,crab apple tree; wild plums,táng
胳,"armpit, arms",gē
桩,"stake, post; affair, matter",zhuāng
瑰,"extraordinary, fabulous; rose",guī
娱,"pleasure, enjoyment, amusement",yú
娶,"marry, take wife",qǔ
沫,"froth, foam, bubbles, suds",mò
